best_epoch,cell,checkpoint_metric,dataset,n_params,seed,split,test_AUC-ROC,test_P@50,test_P@N2,test_PR-AUC,test_accuracy,test_macro-F1,val_AUC-ROC,val_P@50,val_P@N2,val_PR-AUC,val_accuracy,val_macro-F1,wall_time_sec
,v2zs_gemma,AUC-ROC(LLM-zs),ddibn,,,S0,0.495607,0.503621,0.499973,,,,8958.5
,v2zs_qwen,AUC-ROC(LLM-zs),ddibn,,,S0,0.474077,0.495459,0.5,,,,4947.4
,v2zs_qwen,AUC-ROC(LLM-zs),ddibn,,,S2,0.501032,0.545469,0.50008,,,,1588.7
,v2zs_gemma,AUC-ROC(LLM-zs),ddibn,,,S1,0.511216,0.521794,0.499915,,,,22422.7
,v2zs_phi,AUC-ROC(LLM-zs),ddibn,,,S0,0.496458,0.520522,0.503627,,,,2053.1
,v2zs_qwen,AUC-ROC(LLM-zs),ddibn,,,S1,0.473681,0.482811,0.5,,,,12471.3
,v2zs_phi,AUC-ROC(LLM-zs),ddibn,,,S2,0.484712,0.519762,0.499049,,,,713.0
,v2zs_phi,AUC-ROC(LLM-zs),ddibn,,,S1,0.474393,0.489718,0.500387,,,,3872.1
19,15,accuracy,ddibn,147409,0,S0,0.960462,0.972919,0.887481,0.963783,0.894378,0.892418,0.961731,0.969856,0.895218,0.966278,0.896703,0.897593,114.8
3,15,accuracy,ddibn,147409,0,S1,0.836889,0.957416,0.753775,0.847243,0.752182,0.727346,0.823276,0.926029,0.735513,0.825294,0.736576,0.700688,114.8
2,15,accuracy,ddibn,147409,0,S2,0.5645,0.510718,0.518877,0.59839,0.575271,0.416958,0.538472,0.506507,0.515114,0.551164,0.533667,0.327245,114.8
26,15,accuracy,ddibn,147409,42,S0,0.961571,0.974163,0.886902,0.965282,0.891803,0.888764,0.960991,0.968708,0.895457,0.965633,0.897404,0.896756,146.6
3,15,accuracy,ddibn,147409,42,S1,0.829902,0.942105,0.750131,0.835754,0.747249,0.723875,0.819771,0.920383,0.735547,0.8204,0.734254,0.702395,146.6
